quote,annotation
Sun Tzu said: The art of war is of vital importance to the State.,"A modern army has evolved to fight in a variety of situations. Whilst there is room for improvement, there is always room for improvement. The ability to adapt and find ways to improve is a powerful tool for today's teams. In particular, if you can use your skill set to find and respond to multiple threats, then you have a significant advantage."
"It is a matter of life and death, a road either to safety or to ruin. Hence it is a subject of inquiry which can on no account be neglected.",Compare life and death with the thing you love most. Do not let hatred of life prevent affection for the fallen. Love your dead and be prepared to take on the living. Do not let shame prevent courage. Trust in your officers and men. Do not take risks. Be an agent of change. Always remember the greater good. Respect elders and their decisions. Respect the rule of law. Respect the laws and conduct yourself in a spirit of trust and integrity. Be honest in your dealings with all parties. Respect your individual soldiers. Be fair and just. Respect the natural state of your people. Respect international law. Respect your homeland. Respect your people. Respect your soil. Respect their dependents. Respect their commands. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline. Respect their discipline.
"The art of war, then, is governed by five constant factors, to be taken into account in one's deliberations, when seeking to determine the conditions obtaining in the field.","War is fought for the sole purpose of winning. If you want to win, you have to win. Winning is also a means by which you can gain more wars and more resources than you need. Perhaps the single most important skill is in the management of armies, where planning, discipline and other performance management skills are highly outdated. In business, managers often have little to no science or business training. They are just computer models designed to help their people do the most powerful and successful things at all levels. Hence the need for many courses. In business, you can learn a great deal by simply doing business. Businesses may be more successful if you learn a great deal from business. Then you can make better money."
These are: (1) The Moral Law; (2) Heaven; (3) Earth; (4) The Commander; (5) Method and discipline.,The Five Moral Law principles are: (1) Indifference is a Moral Law principle; (2) Indifference is an Attributive Principle; (3) Indifference is a Moral Law principle; (4) Attributive principles are Moral Law principles. (5) Attributive principles are Moral Law principles. (6) Attributive principles give meaning to actions. (7) Attributive principles are morally responsible. (8) Attributive principles give effect. (9) Attributive principles are enforceable. (10) Attributive principles confer Moral Law. (11) Attributive principles confer Discipline. (12) Attributive principles confer Discipline and Transcendence. (13) Attributive principles confer Transcendence. (14) Attributive principles confer Wisdom. (15) Attributive principles
"The Moral Law causes the people to be in complete accord with their ruler, so that they will follow him regardless of their lives, undismayed by any danger.",'The Moral Law' is a simple yet powerful principle. If you understand it then you can also design and implement many other principles.
"Heaven signifies night and day, cold and heat, times and seasons.","If you want to know the seasons, go to the Heavens. If you want to know the seasons, go to the Earth. If you want to know the elements, go to the Sun. If you want to know the laws of physics, go to the Earth. If you want to know the laws of chemistry, go to the Moon. If you want to know the laws of physics, go to the Stars. If you want to know the laws of physics, go to the Stars. If you want to know the laws of other space, go to the opposite of the Heavens. If you want to know the laws of other dimensions, go to the Earth. If you want to know the laws of gravity, go to the Earth. If you want to know the laws of gravity, go to the Sun. If you want to know the laws of all-or-nothing, go to the Heavens. If you want to know all-or-nothing, go to the"
"Earth comprises distances, great and small; danger and security; open ground and narrow passes; the chances of life and death.","You can't travel on solid ground unless you have at least some distance between you and the nearest available point. You can travel on open ground only if you can see enough to go around. A good place to start with a strait is where you can comfortably lie for a few days. Passions can be aroused by such places. Strong ground above gives attractive passes and bulges between provides routes for enemies who cannot get to them. Pushing through weakens your hold, allowing you to march on the next pass."
"The Commander stands for the virtues of wisdom, sincerity, benevolence, courage and strictness.","This is not a 'wise' thing to do. The same is true for 'relaxed and steady eyes'. Calm and steady eyes are important in war, where the enemy is constantly on the move. Steadiness and calm are important in business, where competitors are constantly on the move. In business, high morale and high morale are good things. But in war, high morale and low morale are bad things. Beware of going into battle with a low morale and high morale, even if those are good things. When fighting, be sure of taking as many of your men as you possibly can. In business, always have something you need to know. Wherever you are, have people with you. Ensure your people are well-fed and that their needs are met. Ensure that your people have access to all the tools and knowledge they need to succeed in all their competitive activities. This is what enables you to grow and thrive."
"By method and discipline are to be understood the marshaling of the army in its proper subdivisions, the graduations of rank among the officers, the maintenance of roads by which supplies may reach the army, and the control of military expenditure.","'Marshaling' is 'the maintenance of roads by which supplies may reach the army'. Discipline is a 'modifying power'. The principle is the same as in business: try to control what is changing in your organization, not just what is said and done. Discipline is good for executives, for showing that they are fair and equitable and not just for the customers. The same principle applies to business).'Deception' is a critical skill that can be learnt from good leaders. Deception can be used well in business too, where bad communication can lead to squandered opportunities and lead to waste of time and money. Beware of managers who can't keep to their word and who can deceive, as they can lose their way and fail on critical campaigning."
These five heads should be familiar to every general: he who knows them will be victorious; he who knows them not will fail.,"There are five basic types of generalship, or 'comprehensive wisdom'. These five types of leadership are appropriate for each situation. Note that these types of leadership are not the same thing as 'general competence'. Competence is taking responsibilities, not being able to lead. To succeed, you must be able to take the responsibilities into your own hands. If you can ensure that your people are clearly competent and that you have good strategy and military acumen, then you will be able to take risks and win. Competence is caring, believing that others will take your place and that you will lead. Competence is caring, believing your people will follow you, and believing they will care for you. This is a general's way of caring."
"Therefore, in your deliberations, when seeking to determine the military conditions, let them be made the basis of a comparison, in this wise:--","Take time to think, to think the possibilities. Be open to possibilities. Do not hold back in thinking. To take time to think is to take time to think. Concentrate your thoughts and energies. Do not let too much go out of your hands. Pretend to be wrong. Seek the unknown. Understand the unknown. What you put into the unknown, what you make available to the unknown, may yet be true. In business, this is called 'expectation building'. When you make decisions based on the 'expectation building' method, you are not anticipating the likely outcomes you may achieve. In business, your future may look bright, but you may still miss important opportunities. These are important things to keep in mind."
