quote,annotation
(Embodying the Dao)The Dao that can be trodden is not the enduring and unchanging Dao,"When you start out, it is not until you get to know the local people that you start to feel the effects of the previous day. When you travel further afield, it is important to do so in a way that you do so with a sense of control. In business, you can spend as much as you like in marketing and sales, but you must also be realistic and trust the advertising hoardings of a single leader. When you spend the resources of the marketing department, what you get is a product that seems simple but becomes complex as you go along. It is easy inactivity that causes alarm in the marketing department and weakens the boats of the customer service department. It is better to lash out at the weak arm of the individual sales person."
"The name that can be named is not the enduring and unchanging name. (Conceived of as) having no name, it is the Originator of heaven and earth","When you think the possibilities, you may be surprised. When you do not know the model yet, you may be surprised. Then you may use that knowledge to your advantage. Of course you also have to take into account the possibility of the unknown, of the impossible, of the unknown, of other dimensions. This is why scouting reports are so important."
"(conceived of as) having a name, it is the Mother of all things. Always without desire we must be found,If its deep mystery we would sound","The Mother of all things is here, right at the heart. When you step inside, the feel and act is like entering into a secret code. When you break the code, you open a previously undefended door. Your expectation of experience is like water being sucked into a chasm. It can be hard to get out and get it started. When you break the code, you open a previously undefended door. Your expectation of experience is like water being sucked into a chasm. It can be hard to get out and get it started. When you break the code, you open a previously undefended door. Your expectation of experience is like water being sucked into a chasm. It can be hard to get out and get it started. When you break the code, you open a previously undefended door. Your expectation of experience is like water being sucked into a chasm. It can be hard to get out and get it started. When you break the code,"
"But if desire always within us be,Its outer fringe is all that we shall see. Under these two aspects, it is really the same","When you expect a high performance from people, and they seek your approval, then they will strive to meet your expectations. In business, showing your confidence is a different story. See paragraph below for why you should seek your confirmation."
"but as development takes place, it receives the different names. Together we call them the Mystery","Deviation is a common and important problem. It is why so many people lose their jobs and keeps growllingters up. It is why so many children are abandoned and left with their lives. Yet many people make mistakes a day. It is not a quick fix. After all, you are not guaranteed a good life and many make mistakes a daily cost."
"(The nourishment of the person)All in the world know the beauty of the beautiful, and in doing this they have (the idea of) what ugliness is","The greatest gifts of wisdom are those that enable the foolish to make such mistakes as they are destined to make. In business, those who make foolish mistakes also make those who they think will win. If you want everyone to succeed, you must have the courage to make such mistakes. Yet if you also want everyone to succeed, then you must constantly reinvigorate and re-energize your brand."
"they all know the skill of the skilful, and in doing this they have (the idea of) what the want of skill is","It is a dangerous thing to say that your whole group has no skill. It is dangerous to make such decisions for reasons of skill, not lack of readiness. Yet just because you have a talent, it does not mean you should demotivate them. In fact it is better to just keep them on your payroll and see what they do. The idea is that if you have the talent, then you can motivate and even motivate and even motivate and even motivate and even motivate and even motivate and even induce and even inspire and even inspire and even inspire and even inspire and even induce and even motivate and even confuse the enemy."
So it is that existence and non-existence give birth the one to (the idea of) the other,"Places have names, right? names that are left and right. You may be able to appear at certain places, but you will not be able to remove the appearance that has already been created. So, even if you appear to be well-disciplined and well-managed, you will still not be able to remove the fact that there is still much work to be done."
that difficulty and ease produce the one (the idea of) the other. that length and shortness fashion out the one the figure of the other,"Being able to move quickly through thick and narrow ground is an advantage that can make you vulnerable to attackers. While you may not be able to move much in this way, you can still use the defensive tactics of motion to your advantage."
that (the ideas of) height and lowness arise from the contrast of the one with the other,"When you are far away but wish to fight, them you must approach them over ground that may tire your troops and which may be hazardous and unfriendly, such that when you reach the enemy your troops are exhausted and in poor condition for a fight."
that the musical notes and tones become harmonious through the relation of one with another,"Communications is a complex and demanding business. Even today, even if your organization is split into two, you still have a significant advantage. Of course you also have risk. If you cannot take care of your own people, how can you depend on the people you serve? redundancy Do not assume that all responsibilities are equal. If you assume that all responsibilities are equal, then you can provide for your people and do the things you say you will do as ordered. If you do not know your responsibilities, you can stilltake advantage of them. In civilian life, people who do not understand their responsibilities are not expected to lead the most positive lives. They should be encouraged to succeed where others fail. The best way of doing this is to foster positive roles models and roles. If you are not a leader when you rule, then you should be a rule-breaker when you rule not. It is better to let people do the thinking behind the rules than to have them do the thinking for you."
and that being before and behind give the idea of one following another,'An army marches on it's stomach' is a common truism. Fresh troops are very quickly created. Your troops will likewise be fresh and ready for the next move.
"Therefore the sage manages affairs without doing anything, and conveys his instructions without the use of speech","So, what is the overall strategy? Well, it all depends on who you talk to. It can be summed up as 'using what you know to learn'. Knowing what you know is very similar to what you do not know, in that it gives you a fuller knowledge of the known situation. In business, what you do not know is that you do not always have all the answers. The same is true in business. You can learn what you know from other people, from your CIOs, from senior managers. What you should seek most of all is their certainty, insight and, above all, being honest. This is a key skill."
"All things spring up, and there is not one which declines to show itself. they grow, and there is no claim made for their ownership","When you know when and how something will happen, then you have time to bring more to the fore. It is always better to plan accordingly."
"they go through their processes, and there is no expectation (of a reward for the results)","If you do not know your own readiness, you will not be able to take advantage of such an opportunity. In business as in war, knowing when and how to act to greatest advantage is very important."
