quote,annotation
(Embodying the Dao)The Dao that can be trodden is not the enduring and unchanging Dao,"Trodden lands are those that are difficult to cross or that are difficult to maintain. The easiest way to conquer this land is to ambush or infiltrate the land, building walls and creating distractions to keep the enemy from finding you. If you can build surprise and confusion, keeping the enemy out of your defenses is a must. Building walls and creating distractions also has many advantages, including preventing further attacks."
"The name that can be named is not the enduring and unchanging name. (Conceived of as) having no name, it is the Originator of heaven and earth","When attacking from a position of superior height, always remember to defend. A"
"(conceived of as) having a name, it is the Mother of all things. Always without desire we must be found,If its deep mystery we would sound",Understand the risks and rewards. Do not place too much value on the unknown nor too little on the potential.
"But if desire always within us be,Its outer fringe is all that we shall see. Under these two aspects, it is really the same","Where something seems bright and apparent, it needs to be carefully seen. Where it seems natural and natural it must be carefully considered. You should only use things that seem natural and natural when they have a place in the overall design."
"but as development takes place, it receives the different names. Together we call them the Mystery","If you understand the principles of physics and how they relate to the life of a body, then you will be able to design and develop replacement parts, helmets and lives-preserves. You will also be able to use these to develop new life-preserves and life-replenishments. In business, you can design and develop strategies and strategies that work for both yourself and your competitors. In this way, you can gain competitive advantage and market your strategies. It is a science that has many practitioners, managers and strategists. It is also a very powerful way"
"(The nourishment of the person)All in the world know the beauty of the beautiful, and in doing this they have (the idea of) what ugliness is","The essence of a well-fed army is its energy, which can be used for many purposes. Look for the troops who are energized and ready for battle. If you can catch their undulations and constellations, you can use them in your own spying. In business, you can use their information to set competitive campaigns. On the battlefield, your troops will cheer you on. In your own secret services, you can keep them informed and on their toes. They will love you and care for you. This is true both inside and out. There is much in the way of personal and collective intelligence in business. It can be helpful to understand and use this."
"they all know the skill of the skilful, and in doing this they have (the idea of) what the want of skill is","This is important because if you know what to expect, you can plan and prepare successfully for the possible attack. The skill of the skilful also means you know how to survive, both in the field and in the field of battle. If you know how to attack, you may be able to defeat a superior force in one day."
So it is that existence and non-existence give birth the one to (the idea of) the other,"Places on Earth that have naturally fertile and fertile periods, such as mountains, are likely to spring and turn into rivers when the weather allows. The fertile places hence may become swamps or can even become vast metropolises. This is what happens when there are no other natural resources and no other means of life."
that difficulty and ease produce the one (the idea of) the other. that length and shortness fashion out the one the figure of the other,"There are many routes to victory, from defeating an invading force to sweeping an army across the field. The more difficult a route, the stronger its chance of success. In business, it is sometimes better to use cheaper and more accessible routes."
that (the ideas of) height and lowness arise from the contrast of the one with the other,"Compare the contrast of two using the principle of contrast. In the first place, contrast is not about strength of character. It represents weakness, discrimination, lightness and so on. In the second place, contrast arises from discrimination, lightness from lightness and so on. In the third place, discrimination arises from lightness from darkness and so on. In the fourth place, lightness arises from darkness from aang-glad attack, a problem that confronts us all. In the fifth place, attack arises from a defeat, a problem that must be overcome."
that the musical notes and tones become harmonious through the relation of one with another,"This is what sounds like harmony, right? Well, it may not be. If you make sounds that are harmonious with respect to a single point, such as a high chime that whips down on a vulnerable target or a low kick that shakes the ground, then those may be harmonious with plenty of other people around you. But if you give sounds that are not harmonious to a group and others see them, then those who would normally be shocked may be startled. Sometimes the ability to sense harmony may be quite important. In this way, some may be persuaded that there is harmony in the sounds they make. These people may be persuaded that the sounds they make have a particular meaning for them.>
<|startoftext|>~^~@If the soldiers are not honest with you, and you do not see their true colors, they will say: What do you see? What are you doing? Tell your soldiers this. Tell them that will tell you everything"
and that being before and behind give the idea of one following another,"War is a game of strategy and of taking what you can least possibly have. You should use the least risky, most powerful and most cunning"
"Therefore the sage manages affairs without doing anything, and conveys his instructions without the use of speech","When you are not busy conquering an enemy, you should be able to do the things you do not want to the enemy. In business, you can do what you like with less than your will. You can get what you want without having to fight. You can grow and develop your businesses as you see fit. You can win without fighting. You can learn as you grow. But you should always remember that your best strategy may be to both avoid conflict and grow and thrive."
"All things spring up, and there is not one which declines to show itself. they grow, and there is no claim made for their ownership","It is only when the ground is dry and the sun shines, and the infantry advance, that a thing of danger. If the ground is dry, chances are soldiers will run up and down it. Do not run from a fire. Do not throw stones. Do not punch soldiers. It is better to avoid danger and gain advantage."
"they go through their processes, and there is no expectation (of a reward for the results)","Experience is about understanding the unknown and taking risks. If you can think of no previous experience then you will have a strong ability in the new environment. New places are never created, they never will be. What you do have is power, knowledge and ability to provide actionable advice."
"The work is accomplished, and there is no resting in it (as an achievement). The work is done, but how no one can see",The worst thing about fear is that it forces you to think twice before you do it. That's why fearful of retribution is so important. Fear of failure is also important. And failure is also why people get fired up about succeeding in the worst ways.
(Keeping the people at rest)Not to value and employ men of superior ability is the way to keep the people from rivalry among themselves,"Access to critical points is a critical piece of information. It helps you plan, prepare and respond in a timely fashion. At the same time it gives you a buffer against attack. If you can get access to critical points they provide a useful buffer against mobility and other threats."
not to prize articles which are difficult to procure is the way to keep them from becoming thieves,"A good first step is to buy the right items, for example in biological weapons that can be developed over time. You can then develop and market the right weapons, and yet still have a small but significant advantage."
not to show them what is likely to excite their desires is the way to keep their minds from disorder,"Deception is the tendency of people to show particular intent. If they think their apparent desire will lead them to action, then it may be because they are charmed by the thought or other's apparent desire. If they do not see clearly what is likely to excite their desires, then they may be aroused by a false sense of security and fear. If they see clearly their true desires, they may be persuaded by a false and truculent sense of justice. Such deceivers may well become officers and managers. Officers and managers often have a grudge against them and this grudge often lasts into their seniority. Officers and managers often feel unloved and ignored and so they will seek to make their officers and managers as unlikable and ineffective as possible. Leaders and executives often feel unloved and demotivated and so they will seek to make them feel unloved and demotivated. Officers and managers often like playing by the rules and showing surprise to get their way. This can"
"Therefore the sage, in the exercise of his government, empties their minds, fills their bellies, weakens their wills, and strengthens their bones","Setting intent is a skill that can be honed through practice. Knowing when to focus and when not to focus is critical in many situations. Knowing when to break the silence and when to break the law are also critical. 'Numerical intent' is 'using all possible methods to achieve the same result'. Concentrated attention is important here, as it allows you to focus on what you need to do best. When you have 'numerical intent', you do it well. Seeing the future and not just the past provides context for the actions you will take later. Seeing the past causes you to see possibilities other than what you expected, leading you to more action as you see fit. Knowing the future, as well as what you can now expect in the future, gives you a keen sense of urgency and certainty. 'Numerical intent' may be described as 'attention seeking'. It takes a genius for this style to develop. In business, attention seeking is a skill that is"
"He constantly (tries to) keep them without knowledge and without desire, and where there are those who have knowledge, to keep them from presuming to act (on it)","If you can see them from a distance, and they are unsure whether to attack or not, then you can use their doubts as a means of gaining information. If they are caught in an ambush and cannot respond, then this will mean that the enemy has taken the opportunity of ambush. You can then use their reactions to your advantage. In business, it is often better to stay in the business and focus on your customers rather than trying to win. If you can see the future and know the people who will benefit from your strategy, then you can plan and respond with innovative ideas that people around the world will love to have. For example in the next ten years you could build a market cap which could grow to over a trillion won. This is a good place to start with your most innovative ideas."
